filename,num_points,x_min,x_max,x_range,y_min,y_max,y_range,z_min,z_max,z_range
boundary_207,8091211,-0.8410011,3.8099174,4.6509185,-0.9465097,0.9465097,1.8930194,-0.317597,1.022852,1.340449
boundary_208,9528194,-0.73050594,3.884109,4.614615,-1.0262116,1.0262116,2.0524232,-0.317597,1.0741992,1.3917962
boundary_209,8088713,-0.7926467,4.0673866,4.8600335,-0.9246484,0.9246484,1.8492968,-0.317597,1.2307056,1.5483027
boundary_21,8286085,-0.8679132,3.9170058,4.784919,-0.9596525,0.9596525,1.919305,-0.317597,1.1214797,1.4390768
boundary_210,9173580,-0.9030905,3.7507079,4.653798,-1.0362273,1.0362273,2.0724547,-0.317597,1.0616,1.379197
boundary_212,8240636,-0.846724,3.9041102,4.750834,-1.0764254,1.0764254,2.1528509,-0.317597,1.1472083,1.4648054
boundary_213,8825673,-0.8748784,3.7444527,4.6193314,-1.0883554,1.0883554,2.1767108,-0.317597,1.140987,1.4585841
boundary_214,8186519,-0.76565415,3.8277507,4.593405,-0.96069586,0.96069586,1.9213917,-0.317597,1.113092,1.430689
boundary_215,7722275,-0.8192417,3.6647825,4.484024,-1.111416,1.111416,2.222832,-0.317597,1.0468735,1.3644705
boundary_216,9754264,-0.92964983,3.990996,4.9206457,-1.0005763,1.0005763,2.0011525,-0.317597,1.1782831,1.4958801
boundary_217,9451412,-0.8333786,4.1056232,4.939002,-1.0224144,1.0224144,2.044829,-0.317597,1.1192399,1.436837
boundary_219,8910659,-0.77907443,3.6263568,4.4054313,-1.0617548,1.0617548,2.1235096,-0.317597,1.1594388,1.4770359
boundary_22,8872831,-0.75751424,3.8338218,4.5913363,-1.023484,1.023484,2.046968,-0.317597,1.0915682,1.4091653
boundary_220,8198174,-0.8875489,3.9427357,4.8302846,-0.9360152,0.9360152,1.8720304,-0.317597,1.0358721,1.3534691
boundary_222,9533971,-0.8063304,3.8661132,4.6724434,-1.0110587,1.0110587,2.0221174,-0.317597,1.0010252,1.3186222
boundary_223,8327935,-0.8607133,3.7023857,4.563099,-0.98707736,0.98707736,1.9741547,-0.317597,1.1931225,1.5107195
boundary_224,8755874,-0.7523593,4.0290313,4.7813907,-1.0502965,1.0502965,2.100593,-0.317597,1.0666296,1.3842267
boundary_225,7515578,-0.7817181,3.9949086,4.7766266,-0.928483,0.928483,1.856966,-0.317597,1.0965686,1.4141656
boundary_226,10074816,-0.89198345,3.6786668,4.57065,-1.0088632,1.0088632,2.0177264,-0.317597,1.2016996,1.5192966
boundary_227,8224395,-0.72804654,3.7578633,4.48591,-0.96855575,0.96855575,1.9371115,-0.317597,1.1363026,1.4538996
boundary_228,8649833,-0.83495945,3.8320994,4.667059,-1.0790278,1.0790278,2.1580555,-0.317597,1.0306789,1.3482759
boundary_229,9085882,-0.86514837,4.080899,4.9460473,-1.043399,1.043399,2.086798,-0.317597,1.1284595,1.4460565
boundary_23,9152929,-0.81200445,3.6706858,4.4826903,-0.9988393,0.9988393,1.9976786,-0.317597,1.2010591,1.5186561
boundary_230,8120931,-0.7549057,3.754973,4.5098786,-0.96454227,0.96454227,1.9290845,-0.317597,1.078228,1.395825
boundary_231,8354114,-0.8094182,3.8339994,4.6434174,-1.0832695,1.0832695,2.166539,-0.317597,1.1880823,1.5056794
boundary_232,9204853,-0.92182994,3.9179735,4.8398037,-1.0043229,1.0043229,2.0086458,-0.317597,1.0434456,1.3610426
boundary_233,8620729,-0.82265365,4.0323095,4.8549633,-0.9787082,0.97870827,1.9574165,-0.317597,1.0851852,1.4027822
boundary_234,8254547,-0.93299043,3.7167144,4.649705,-1.0581877,1.0581876,2.1163754,-0.317597,1.0899862,1.4075832
boundary_235,9655977,-0.76800865,3.7963176,4.5643263,-1.0181566,1.0181566,2.0363133,-0.317597,1.0241253,1.3417224
boundary_236,8127247,-0.8790344,3.8798454,4.7588797,-0.9540245,0.9540245,1.908049,-0.317597,1.1753432,1.4929402
boundary_237,7854125,-0.90634745,3.7191424,4.6254897,-1.0937577,1.0937577,2.1875155,-0.317597,0.9727364,1.2903334
boundary_238,9449773,-0.7954351,3.7933192,4.588754,-1.0295414,1.0295414,2.0590827,-0.317597,1.1426506,1.4602476
boundary_239,8150758,-0.85209364,3.639491,4.491585,-0.9426977,0.9426977,1.8853954,-0.317597,1.0589889,1.376586
boundary_24,7942302,-0.92232597,3.9965823,4.918908,-1.1096798,1.1096798,2.2193596,-0.317597,1.0575478,1.3751448
boundary_240,8823777,-0.7413325,3.9564166,4.697749,-1.0695432,1.0695432,2.1390865,-0.317597,1.2081974,1.5257944
boundary_241,8180602,-0.80327517,3.8976336,4.7009087,-0.9541082,0.9541082,1.9082164,-0.317597,1.0700737,1.3876708
boundary_242,9058095,-0.9108885,3.8142798,4.725168,-1.032806,1.032806,2.065612,-0.317597,1.1152705,1.4328675
boundary_243,9273184,-0.7492766,3.6609466,4.410223,-0.9930399,0.9930399,1.9860798,-0.317597,1.1323949,1.449992
boundary_244,8033664,-0.8572618,3.9770343,4.834296,-1.1201838,1.1201838,2.2403677,-0.317597,1.1831422,1.5007392
boundary_245,8616172,-0.8850724,3.5741,4.4591722,-1.0683154,1.0683154,2.1366308,-0.317597,1.096994,1.4145911
boundary_246,8396743,-0.77674663,3.8999205,4.676667,-1.0048728,1.0048728,2.0097456,-0.317597,1.1488208,1.4664178
boundary_247,7833222,-0.83098656,3.7373908,4.5683775,-0.9181333,0.9181333,1.8362666,-0.317597,1.1631707,1.4807677
boundary_249,10072803,-0.8437596,3.936015,4.7797747,-1.0189456,1.0189456,2.0378911,-0.317597,1.1346766,1.4522736
boundary_25,8327311,-0.8252758,4.1112814,4.9365573,-1.0848237,1.0848237,2.1696475,-0.317597,1.0807256,1.3983226
boundary_250,7841026,-0.73545605,3.8619783,4.5974345,-1.1294225,1.1294225,2.258845,-0.317597,1.0861102,1.4037073
boundary_251,8589177,-0.7899881,3.6988595,4.4888477,-1.043922,1.043922,2.087844,-0.317597,0.9994471,1.3170441
boundary_252,8383410,-0.8980292,4.014805,4.912834,-0.9789966,0.9789966,1.9579931,-0.317597,1.1695181,1.4871151
boundary_253,8199617,-0.92532843,3.6126745,4.538003,-0.94301254,0.94301254,1.8860251,-0.317597,1.1608729,1.47847
boundary_254,9339121,-0.81670886,3.9388049,4.7555137,-1.0546159,1.0546159,2.1092317,-0.317597,1.1169188,1.4345158
boundary_255,8430305,-0.8737545,3.7755485,4.649303,-0.9680872,0.9680872,1.9361744,-0.317597,1.0512035,1.3688005
boundary_256,8327802,-0.76368815,3.85853,4.622218,-1.0939628,1.0939628,2.1879256,-0.317597,1.1021099,1.419707
boundary_257,8233871,-0.8761911,3.977029,4.85322,-0.9600216,0.9600216,1.9200432,-0.317597,1.0643389,1.381936
boundary_258,9141069,-0.7658241,3.6512935,4.4171176,-1.0392076,1.0392076,2.0784152,-0.317597,1.2091984,1.5267954
boundary_259,8978728,-0.8198414,3.7304525,4.550294,-1.0000993,1.0000993,2.0001986,-0.317597,1.1248391,1.4424361
boundary_26,8710254,-0.9356367,3.7954004,4.731037,-0.9734211,0.9734211,1.9468422,-0.317597,1.103601,1.421198
boundary_260,8242289,-0.93305403,3.8141034,4.7471576,-1.0638393,1.0638393,2.1276786,-0.317597,0.9994283,1.3170253
boundary_261,8732855,-0.7387621,4.0540824,4.7928443,-1.0746783,1.0746783,2.1493566,-0.317597,1.116928,1.434525
boundary_262,8321627,-0.8464689,3.7286706,4.5751395,-0.9641611,0.9641611,1.9283222,-0.317597,1.1438198,1.4614168
boundary_263,7521010,-0.9025524,3.817311,4.7198634,-0.9240911,0.9240911,1.8481822,-0.317597,1.1582049,1.475802
boundary_264,10045043,-0.7923179,3.8911536,4.6834717,-1.0358548,1.0358548,2.0717096,-0.317597,1.0331078,1.3507048
boundary_265,9573573,-0.91599977,4.0161057,4.9321055,-1.0252757,1.0252757,2.0505514,-0.317597,1.2284904,1.5460874
boundary_266,7808626,-0.8059334,3.689606,4.495539,-1.0895002,1.0895002,2.1790004,-0.317597,1.079028,1.396625
boundary_267,8615896,-0.85954446,3.7691674,4.6287117,-1.0494537,1.0494537,2.0989075,-0.317597,1.0126492,1.3302462
boundary_268,8233926,-0.75236213,3.852775,4.6051373,-0.98569363,0.98569363,1.9713873,-0.317597,1.1631966,1.4807936
boundary_269,7811054,-0.7786881,3.6925175,4.4712057,-0.9351219,0.9351219,1.8702438,-0.317597,0.9791615,1.2967585
boundary_27,8124493,-0.77078515,3.6326654,4.4034505,-0.9337237,0.9337237,1.8674474,-0.317597,1.0374683,1.3550653
boundary_270,9432351,-0.8901378,3.776007,4.666145,-1.0138136,1.0138136,2.0276272,-0.317597,1.1114028,1.4289998
boundary_271,8464726,-0.7254395,3.855391,4.5808306,-0.9741293,0.97413015,1.9482595,-0.317597,1.0458307,1.3634278
boundary_272,8362744,-0.8337125,3.9286957,4.7624083,-1.1009946,1.1009946,2.2019892,-0.317597,1.199376,1.516973
boundary_273,8236925,-0.8956675,3.8703804,4.766048,-0.9852673,0.9852673,1.9705346,-0.317597,1.0782478,1.3958448
boundary_274,8767885,-0.787773,3.7960887,4.583862,-1.0641116,1.0641115,2.128223,-0.317597,1.0848411,1.4024382
boundary_275,9454751,-0.8420263,3.6336634,4.47569,-1.02437,1.02437,2.04874,-0.317597,1.1189363,1.4365333
boundary_276,7800696,-0.73010784,3.949731,4.679839,-0.9136076,0.9136076,1.8272152,-0.317597,1.170926,1.488523
boundary_277,8031927,-0.75957084,3.9571085,4.7166796,-1.0994471,1.0994471,2.1988943,-0.317597,1.0907849,1.4083819
boundary_278,9444623,-0.86793935,3.8732429,4.7411823,-0.98861986,0.98861986,1.9772397,-0.317597,1.1361904,1.4537874
boundary_279,8223686,-0.92148596,3.710513,4.631999,-0.94973385,0.94973385,1.8994677,-0.317597,1.0519514,1.3695484
boundary_28,9354080,-0.8810592,3.9584608,4.83952,-1.060875,1.060875,2.12175,-0.317597,1.1697404,1.4873375
boundary_280,9132051,-0.8140698,4.036308,4.8503776,-1.0760479,1.0760479,2.1520958,-0.317597,1.2032593,1.5208564
boundary_281,9222860,-0.9368026,3.90919,4.8459926,-1.0504646,1.0504646,2.1009293,-0.317597,1.125204,1.442801
boundary_283,8251401,-0.8845946,3.6719034,4.556498,-1.0898249,1.0898249,2.1796498,-0.317597,1.1821814,1.4997784
boundary_284,8852650,-0.7741997,3.997014,4.7712135,-1.0104544,1.0104544,2.0209088,-0.317597,1.0380075,1.3556045
boundary_285,8199028,-0.8009193,3.5950053,4.3959246,-0.97469515,0.97469515,1.9493903,-0.317597,1.1315122,1.4491092
boundary_286,8723955,-0.9094725,3.9112499,4.8207226,-1.0394639,1.0394639,2.0789278,-0.317597,1.1060629,1.4236599
boundary_287,9853845,-0.7442262,3.7479775,4.4922037,-0.99952465,0.99952465,1.9990493,-0.317597,1.0400131,1.3576101
boundary_288,8096530,-0.8545373,4.074579,4.9291162,-1.1252134,1.1252134,2.2504268,-0.317597,1.0907748,1.4083718
boundary_289,8413809,-0.88571495,4.040685,4.9264,-0.95627403,0.95627403,1.9125481,-0.317597,1.1201297,1.4377267
boundary_29,9714252,-0.9081729,3.5561867,4.4643598,-1.0092032,1.0092032,2.0184064,-0.317597,1.0866611,1.4042581
boundary_290,8567703,-0.7764395,3.7239501,4.5003896,-1.0676223,1.0676223,2.1352446,-0.317597,1.0494536,1.3670506
boundary_292,7855933,-0.7224038,3.8872323,4.6096363,-1.1070409,1.1070409,2.2140818,-0.317597,1.1351979,1.4527949
boundary_293,8438469,-0.74984473,4.1263433,4.876188,-1.0723244,1.0723244,2.1446488,-0.317597,1.1315409,1.4491379
boundary_294,8621433,-0.85743564,3.800425,4.6578608,-0.9921494,0.9921494,1.9842988,-0.317597,1.101444,1.419041
boundary_296,9274308,-0.80330354,3.9636848,4.7669883,-1.0320151,1.0320151,2.0640302,-0.317597,1.1670318,1.4846288
boundary_297,9886066,-0.931143,4.0882735,5.0194163,-1.0063958,1.0063958,2.0127916,-0.317597,1.0881578,1.4057548
boundary_298,7535480,-0.81675875,3.762388,4.579147,-0.94253343,0.94253343,1.8850669,-0.317597,1.1133232,1.4309202
boundary_299,8677840,-0.8711463,3.5987432,4.4698896,-1.0930711,1.0930711,2.1861422,-0.317597,1.147894,1.465491
boundary_3,8830562,-0.9282953,3.6915178,4.619813,-1.0345488,1.0345488,2.0690975,-0.317597,0.99759555,1.3151926
